,ID,documentName,link
0,AGF93,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF93/SP/2022-09-30
0,AGF93,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF93/KL/2022-07-01
0,AGF93,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF93/PE/2022-09-01
0,AGF93,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF93/KA/2022-09-30
0,AGF93,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF93/TOU/2022-09-01
0,AGF93_E,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF93_E/SP/2022-09-30
0,AGF93_E,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF93_E/KL/2022-07-01
0,AGF93_E,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF93/PE/2022-09-01
0,AGF93_E,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF93_E/KA/2022-09-30
0,AGF93_E,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF93_E/TOU/2022-09-01
0,AGF93_U,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF93_U/SP/2022-09-30
0,AGF93_U,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF93_U/KL/2022-07-01
0,AGF93_U,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF93/PE/2022-09-01
0,AGF93_U,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF93_U/KA/2022-09-30
0,AGF93_U,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF93_U/TOU/2022-09-01
0,AGF71,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF71/SP/2022-09-30
0,AGF71,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF71/KL/2022-07-12
0,AGF71,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF71/PE/2022-09-01
0,AGF71,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF71/RP/2022-06-30
0,AGF71,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF71/KA/2022-09-30
0,AGF71,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF71/TOU/2022-09-01
0,AGF71_E,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF71_E/SP/2022-09-30
0,AGF71_E,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF71_E/KL/2022-07-12
0,AGF71_E,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF71/PE/2022-09-01
0,AGF71_E,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF71_E/RP/2022-06-30
0,AGF71_E,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF71_E/KA/2022-09-30
0,AGF71_E,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF71_E/TOU/2022-09-01
0,AGF71_U,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF71_U/SP/2022-09-30
0,AGF71_U,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF71_U/KL/2022-07-12
0,AGF71_U,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF71/PE/2022-09-01
0,AGF71_U,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF71_U/RP/2022-06-30
0,AGF71_U,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF71_U/KA/2022-09-30
0,AGF71_U,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF71_U/TOU/2022-09-01
0,AGF44,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF44/SP/2022-09-30
0,AGF44,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF44/KL/2022-05-11
0,AGF44,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF44/PE/2022-09-01
0,AGF44,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF44/RP/2022-06-30
0,AGF44,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF44/KA/2022-09-30
0,AGF44,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF44/TOU/2022-09-01
0,AGF90,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF90/SP/2022-09-30
0,AGF90,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF90/KL/2022-05-11
0,AGF90,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF90/PE/2022-09-01
0,AGF90,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF90/RP/2022-06-30
0,AGF90,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF90/KA/2022-09-30
0,AGF90,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF90/TOU/2022-09-01
0,AGF04,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF04/SP/2022-09-30
0,AGF04,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF04/KL/2022-05-11
0,AGF04,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF04/PE/2022-09-01
0,AGF04,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF04/RP/2022-06-30
0,AGF04,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF04/KA/2022-09-30
0,AGF04,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF04/TOU/2022-09-01
0,AGF04_E,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF04_E/SP/2022-09-30
0,AGF04_E,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF04_E/KL/2022-05-11
0,AGF04_E,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF04/PE/2022-09-01
0,AGF04_E,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF04_E/RP/2022-06-30
0,AGF04_E,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF04_E/KA/2022-09-30
0,AGF04_E,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF04_E/TOU/2022-09-01
0,AGF04_U,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF04_U/SP/2022-09-30
0,AGF04_U,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF04_U/KL/2022-05-11
0,AGF04_U,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF04/PE/2022-09-01
0,AGF04_U,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF04_U/RP/2022-06-30
0,AGF04_U,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF04_U/KA/2022-09-30
0,AGF04_U,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF04_U/TOU/2022-09-01
0,AGF05,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF05/SP/2022-09-30
0,AGF05,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF05/KL/2022-05-11
0,AGF05,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF05/PE/2022-09-01
0,AGF05,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF05/RP/2022-06-30
0,AGF05,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF05/KA/2022-09-30
0,AGF05,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF05/TOU/2022-09-01
0,AGF46,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/AGF46/SP/2022-09-30
0,AGF46,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGF46/KL/2022-05-11
0,AGF46,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGF46/PE/2022-09-01
0,AGF46,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGF46/RP/2022-06-30
0,AGF46,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGF46/KA/2022-09-30
0,AGF46,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGF46/TOU/2022-09-01
0,AGR10,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGR10/KL/2022-10-07
0,AGR10,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGR10/PE/2022-10-07
0,AGR10,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGR10/RP/2022-06-30
0,AGR10,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGR10/KA/2022-09-30
0,AGR10,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGR10/TOU/2022-01-01
0,AGR09,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGR09/KL/2022-10-07
0,AGR09,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGR09/PE/2022-10-07
0,AGR09,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGR09/RP/2022-06-30
0,AGR09,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGR09/KA/2022-09-30
0,AGR09,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGR09/TOU/2022-01-01
0,AGR06,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGR06/KL/2022-10-07
0,AGR06,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGR06/PE/2022-10-07
0,AGR06,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGR06/RP/2022-06-30
0,AGR06,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGR06/KA/2022-09-30
0,AGR06,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGR06/TOU/2022-01-01
0,AGR05,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGR05/KL/2022-10-07
0,AGR05,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGR05/PE/2022-10-07
0,AGR05,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGR05/RP/2022-06-30
0,AGR05,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGR05/KA/2022-09-30
0,AGR05,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGR05/TOU/2022-01-01
0,AGR08,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGR08/KL/2022-10-07
0,AGR08,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGR08/PE/2022-10-07
0,AGR08,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGR08/RP/2022-06-30
0,AGR08,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGR08/KA/2022-09-30
0,AGR08,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGR08/TOU/2022-01-01
0,AGR07,KIID,https://dokumenty.analizy.pl/pobierz/fi/AGR07/KL/2022-10-07
0,AGR07,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/AGR07/PE/2022-10-07
0,AGR07,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/AGR07/RP/2022-06-30
0,AGR07,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/AGR07/KA/2022-09-30
0,AGR07,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/AGR07/TOU/2022-01-01
0,MON20,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON20/SP/2022-06-30
0,MON20,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON20/KL/2022-09-26
0,MON20,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON20/PE/2022-10-10
0,MON20,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON20/RP/2022-06-30
0,MON20,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON20/KA/2022-09-30
0,MON20,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON20/TOU/2022-06-01
0,MON19,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON19/SP/2022-06-30
0,MON19,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON19/KL/2022-09-26
0,MON19,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON19/PE/2022-10-10
0,MON19,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON19/RP/2022-06-30
0,MON19,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON19/KA/2022-09-30
0,MON19,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON19/TOU/2022-06-01
0,MON17,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON17/SP/2022-06-30
0,MON17,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON17/KL/2022-09-26
0,MON17,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON17/PE/2022-10-10
0,MON17,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON17/RP/2022-06-30
0,MON17,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON17/KA/2022-09-30
0,MON17,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON17/TOU/2022-06-01
0,MON22,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON22/SP/2022-06-30
0,MON22,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON22/KL/2022-09-26
0,MON22,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON22/PE/2022-10-10
0,MON22,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON22/RP/2022-06-30
0,MON22,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON22/KA/2022-09-30
0,MON22,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON22/TOU/2022-06-01
0,MON03,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON03/SP/2022-06-30
0,MON03,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON03/KL/2022-09-26
0,MON03,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON03/PE/2022-10-10
0,MON03,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON03/RP/2022-06-30
0,MON03,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON03/KA/2022-09-30
0,MON03,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON03/TOU/2022-06-01
0,MON15,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON15/SP/2022-06-30
0,MON15,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON15/KL/2022-09-26
0,MON15,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON15/PE/2022-10-10
0,MON15,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON15/RP/2022-06-30
0,MON15,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON15/KA/2022-09-30
0,MON15,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON15/TOU/2022-06-01
0,MON21,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON21/SP/2022-06-30
0,MON21,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON21/KL/2022-09-26
0,MON21,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON21/PE/2022-10-10
0,MON21,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON21/RP/2022-06-30
0,MON21,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON21/KA/2022-09-30
0,MON21,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON21/TOU/2022-06-01
0,MON23,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/MON23/SP/2022-06-30
0,MON23,KIID,https://dokumenty.analizy.pl/pobierz/fi/MON23/KL/2022-09-26
0,MON23,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/MON23/PE/2022-10-10
0,MON23,Sprawozdanie,https://dokumenty.analizy.pl/pobierz/fi/MON23/RP/2022-06-30
0,MON23,Karta funduszu,https://dokumenty.analizy.pl/pobierz/fi/MON23/KA/2022-09-30
0,MON23,Tabela opłat,https://dokumenty.analizy.pl/pobierz/fi/MON23/TOU/2022-06-01
0,ALL41,Skład portfela,https://dokumenty.analizy.pl/pobierz/fi/ALL41/SP/2022-09-30
0,ALL41,KIID,https://dokumenty.analizy.pl/pobierz/fi/ALL41/KL/2022-02-21
0,ALL41,Prospekt informacyjny,https://dokumenty.analizy.pl/pobierz/fi/ALL41/PE/2022-09-01
