,symbol,link_part,masterFund,subFund,link,volatility
0,VIG03B,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji-korporacyjnych-a,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Obligacji Korporacyjnych A,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG03B/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji-korporacyjnych-a#moreInfo,0.4206281689300993
0,VIG03,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji-korporacyjnych,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Obligacji Korporacyjnych,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG03/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji-korporacyjnych#moreInfo,0.3912351246999891
0,VIG02B,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji-a,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Obligacji A,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG02B/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji-a#moreInfo,23.317503304959676
0,VIG02,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Obligacji,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG02/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-obligacji#moreInfo,22.103945543447473
0,VIG01B,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-konserwatywny-a,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Konserwatywny A,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG01B/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-konserwatywny-a#moreInfo,0.9105524306435505
0,VIG01,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-konserwatywny,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Konserwatywny,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG01/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-konserwatywny#moreInfo,0.801105806413142
0,VIG07B,vig-c-quadrat-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-greenstars-a,VIG / C-QUADRAT SFIO,VIG / C-QUADRAT GreenStars A,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG07B/vig-c-quadrat-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-greenstars-a#moreInfo,12.517964255960928
0,VIG07,vig-c-quadrat-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-greenstars,VIG / C-QUADRAT SFIO,VIG / C-QUADRAT GreenStars,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG07/vig-c-quadrat-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-greenstars#moreInfo,11.745689449870726
0,VIG05B,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-global-growth-trends-a,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Global Growth Trends A,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG05B/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-global-growth-trends-a#moreInfo,72.20115338264866
0,VIG05,vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-global-growth-trends,VIG / C-QUADRAT FIO,VIG / C-QUADRAT Global Growth Trends,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/VIG05/vig-c-quadrat-fundusz-inwestycyjny-otwarty-subfundusz-vig-c-quadrat-global-growth-trends#moreInfo,68.13521129524561
